country,year,iso_code,population,gdp
Afghanistan,1990,AFG,10694804,13.065.984.000.000
Albania,1990,ALB,3295073,12.947.849.216.000
Algeria,1990,DZA,25518074,117.843.181.568.000
American Samoa,1990,ASM,47841,
Angola,1990,AGO,11828643,11.482.503.168.000
Antarctica,1990,ATA,,
Antigua and Barbuda,1990,ATG,63346,
Argentina,1990,ARG,32637658,338.751.160.320.000
Aruba,1990,ABW,65734,
Australia,1990,AUS,17048002,464.136.601.600.000
Austria,1990,AUT,7678732,207.979.118.592.000
Azerbaijan,1990,AZE,7427840,53.235.601.408.000
Bahamas,1990,BHS,270690,
Bahrain,1990,BHR,517429,3.274.114.048.000
Bangladesh,1990,BGD,107147656,112.105.267.200.000
Barbados,1990,BRB,258871,3.404.428.032.000
Belarus,1990,BLR,10428527,116.974.870.528.000
Belgium,1990,BEL,9959565,273.278.730.240.000
Belize,1990,BLZ,182603,
Benin,1990,BEN,5133429,8.723.574.784.000
Bermuda,1990,BMU,57490,
Bhutan,1990,BTN,558449,
Bolivia,1990,BOL,7096195,23.021.797.376.000
Botswana,1990,BWA,1341480,6.660.711.424.000
Brazil,1990,BRA,150706448,1.185.475.198.976.000
British Virgin Islands,1990,VGB,15646,
Brunei,1990,BRN,261936,
Bulgaria,1990,BGR,8767778,79.352.520.704.000
Burkina Faso,1990,BFA,9131362,10.752.295.936.000
Burundi,1990,BDI,5483800,6.041.848.320.000
Cambodia,1990,KHM,8910806,13.119.770.624.000
Cameroon,1990,CMR,11430519,22.937.075.712.000
Canada,1990,CAN,27657206,835.996.811.264.000
Cape Verde,1990,CPV,364572,668.099.968.000
Cayman Islands,1990,CYM,26050,
Central African Republic,1990,CAF,2809223,3.155.954.944.000
Chad,1990,TCD,5827070,4.042.256.384.000
Chile,1990,CHL,13342876,133.955.190.784.000
China,1990,CHN,1153704192,3.385.121.570.816.000
Colombia,1990,COL,32601396,253.538.205.696.000
Comoros,1990,COM,431128,469.560.000.000
Congo,1990,COG,2385433,8.597.208.064.000
Cook Islands,1990,COK,17147,
Costa Rica,1990,CRI,3158257,22.906.634.240.000
Cote d'Ivoire,1990,CIV,11910540,26.018.496.512.000
Croatia,1990,HRV,4873705,58.374.078.464.000
Cuba,1990,CUB,10626679,49.943.662.592.000
Cyprus,1990,CYP,788501,10.601.790.464.000
Czechia,1990,CZE,10301190,146.168.283.136.000
Democratic Republic of Congo,1990,COD,35987544,31.745.583.104.000
Denmark,1990,DNK,5144626,151.205.740.544.000
Djibouti,1990,DJI,577183,1.151.692.032.000
Dominica,1990,DMA,69501,275.729.984.000
Dominican Republic,1990,DOM,7129004,27.899.936.768.000
Ecuador,1990,ECU,10449845,64.188.502.016.000
Egypt,1990,EGY,57214632,227.979.902.976.000
El Salvador,1990,SLV,5367182,17.260.965.888.000
Equatorial Guinea,1990,GNQ,465560,917.854.016.000
Estonia,1990,EST,1570676,27.066.095.616.000
Eswatini,1990,SWZ,854020,3.420.534.784.000
Ethiopia,1990,ETH,47878076,45.030.920.192.000
Faeroe Islands,1990,FRO,47505,
Falkland Islands,1990,FLK,2353,
Fiji,1990,FJI,780437,
Finland,1990,FIN,4986551,134.055.206.912.000
France,1990,FRA,56412896,1.636.207.689.728.000
French Guiana,1990,GUF,113948,
French Polynesia,1990,PYF,211108,
Gabon,1990,GAB,983039,7.172.590.080.000
Gambia,1990,GMB,1040625,1.331.399.936.000
Germany,1990,DEU,79370192,2.015.547.621.376.000
Ghana,1990,GHA,15446987,26.095.562.752.000
Gibraltar,1990,GIB,27342,
Greece,1990,GRC,10302255,161.708.982.272.000
Greenland,1990,GRL,55616,
Grenada,1990,GRD,99066,
Guadeloupe,1990,GLP,391961,
Guam,1990,GUM,138279,
Guatemala,1990,GTM,9084779,46.309.388.288.000
Guinea,1990,GIN,6354146,4.999.406.592.000
Guinea-Bissau,1990,GNB,973557,1.261.819.904.000
Guyana,1990,GUY,747124,
Haiti,1990,HTI,6925335,10.773.449.728.000
Honduras,1990,HND,5053235,14.201.085.952.000
Hong Kong,1990,HKG,5838573,159.035.326.464.000
Hungary,1990,HUN,10375989,106.788.855.808.000
Iceland,1990,ISL,255026,7.325.718.528.000
India,1990,IND,870452160,1.750.992.945.152.000
Indonesia,1990,IDN,182159888,718.548.893.696.000
Iran,1990,IRN,55793628,318.478.254.080.000
Iraq,1990,IRQ,17658384,71.051.763.712.000
Ireland,1990,IRL,3485370,66.087.473.152.000
Israel,1990,ISR,4803255,93.268.262.912.000
Italy,1990,ITA,56756560,1.475.485.237.248.000
Jamaica,1990,JAM,2392035,14.169.709.568.000
Japan,1990,JPN,123686320,3.699.821.510.656.000
Jordan,1990,JOR,3480591,19.715.854.336.000
Kazakhstan,1990,KAZ,16866574,194.940.977.152.000
Kenya,1990,KEN,23162270,41.570.971.648.000
Kiribati,1990,KIR,75140,
Kuwait,1990,KWT,1674942,20.899.600.384.000
Laos,1990,LAO,4314442,6.235.010.048.000
Latvia,1990,LVA,2689398,42.100.703.232.000
Lebanon,1990,LBN,3593705,9.719.894.016.000
Lesotho,1990,LSO,1799004,3.205.046.016.000
Liberia,1990,LBR,2209737,3.680.819.968.000
Libya,1990,LBY,4236988,20.372.078.592.000
Lithuania,1990,LTU,3785851,51.021.991.936.000
Luxembourg,1990,LUX,381275,14.057.150.464.000
Macao,1990,MAC,350240,
Madagascar,1990,MDG,11882763,14.680.679.424.000
Malawi,1990,MWI,9539669,8.210.711.040.000
Malaysia,1990,MYS,17517060,143.192.113.152.000
Maldives,1990,MDV,224976,
Mali,1990,MLI,8945030,9.628.796.928.000
Malta,1990,MLT,365396,4.761.399.808.000
Martinique,1990,MTQ,374280,
Mauritania,1990,MRT,2006035,2.908.675.072.000
Mauritius,1990,MUS,1090296,12.196.699.136.000
Mexico,1990,MEX,81720424,823.577.542.656.000
Micronesia (country),1990,FSM,98616,
Mongolia,1990,MNG,2161440,4.502.882.816.000
Montserrat,1990,MSR,10828,
Morocco,1990,MAR,24570816,102.154.764.288.000
Mozambique,1990,MOZ,13303461,22.495.834.112.000
Myanmar,1990,MMR,40099556,49.171.472.384.000
Namibia,1990,NAM,1369016,7.363.139.072.000
Nauru,1990,NRU,9620,
Nepal,1990,NPL,19616528,24.523.433.984.000
Netherlands,1990,NLD,14944550,411.390.803.968.000
Netherlands Antilles,1990,ANT,295861,
New Caledonia,1990,NCL,177280,
New Zealand,1990,NZL,3397388,74.483.236.864.000
Nicaragua,1990,NIC,4227824,8.348.404.224.000
Niger,1990,NER,8370650,6.837.988.352.000
Nigeria,1990,NGA,95214256,171.278.467.072.000
Niue,1990,NIU,2560,
North Korea,1990,PRK,20799522,50.223.947.776.000
North Macedonia,1990,MKD,2044181,17.074.264.064.000
Northern Mariana Islands,1990,MNP,48021,
Norway,1990,NOR,4241637,124.859.203.584.000
Oman,1990,OMN,1804528,18.309.502.976.000
Pakistan,1990,PAK,115414072,290.069.544.960.000
Panama,1990,PAN,2449966,17.035.766.784.000
Papua New Guinea,1990,PNG,3864983,
Paraguay,1990,PRY,4059198,22.196.119.552.000
Peru,1990,PER,22109102,103.571.996.672.000
Philippines,1990,PHL,61558900,227.937.189.888.000
Poland,1990,POL,38064252,310.673.178.624.000
Portugal,1990,PRT,10007347,171.225.923.584.000
Puerto Rico,1990,PRI,3543785,59.418.062.848.000
Qatar,1990,QAT,441685,5.221.963.264.000
Reunion,1990,REU,659000,
Romania,1990,ROU,22836234,127.957.827.584.000
Russia,1990,RUS,148005696,1.834.865.262.592.000
Rwanda,1990,RWA,7319970,9.760.500.736.000
Saint Helena,1990,SHN,6633,
Saint Kitts and Nevis,1990,KNA,40663,
Saint Lucia,1990,LCA,142315,718.014.016.000
Saint Pierre and Miquelon,1990,SPM,6345,
Saint Vincent and the Grenadines,1990,VCT,112507,
Samoa,1990,WSM,168202,
Sao Tome and Principe,1990,STP,120355,257.172.000.000
Saudi Arabia,1990,SAU,16004768,230.231.015.424.000
Senegal,1990,SEN,7536003,15.993.263.104.000
Serbia,1990,SRB,7987530,75.948.515.328.000
Seychelles,1990,SYC,71073,584.969.024.000
Sierra Leone,1990,SLE,4325390,6.912.779.776.000
Singapore,1990,SGP,3022218,69.065.572.352.000
Slovakia,1990,SVK,5261310,65.119.608.832.000
Slovenia,1990,SVN,1986030,36.026.961.920.000
Solomon Islands,1990,SLB,324184,
Somalia,1990,SOM,6999098,
South Africa,1990,ZAF,39877568,235.128.504.320.000
South Korea,1990,KOR,44120040,594.764.496.896.000
Spain,1990,ESP,38889888,756.125.007.872.000
Sri Lanka,1990,LKA,17204098,67.098.669.056.000
Sudan,1990,SDN,21090892,
Suriname,1990,SUR,412767,
Sweden,1990,SWE,8548407,240.234.004.480.000
Switzerland,1990,CHE,6711685,234.154.442.752.000
Syria,1990,SYR,12409003,113.006.346.240.000
Taiwan,1990,TWN,20586176,319.544.655.872.000
Tanzania,1990,TZA,26206024,22.062.497.792.000
Thailand,1990,THA,55228408,407.627.792.384.000
Togo,1990,TGO,3875958,4.744.274.944.000
Tonga,1990,TON,98744,
Trinidad and Tobago,1990,TTO,1266525,17.710.559.232.000
Tunisia,1990,TUN,8440035,43.649.703.936.000
Turkey,1990,TUR,54324140,486.761.168.896.000
Turkmenistan,1990,TKM,3720287,21.201.768.448.000
Turks and Caicos Islands,1990,TCA,11723,
Tuvalu,1990,TUV,9201,
Uganda,1990,UGA,17586634,16.268.766.208.000
Ukraine,1990,UKR,51589816,495.935.193.088.000
United Arab Emirates,1990,ARE,1900160,40.641.368.064.000
United Kingdom,1990,GBR,57210444,1.505.692.221.440.000
United States,1990,USA,248083728,9.250.378.088.448.000
United States Virgin Islands,1990,VIR,100699,
Uruguay,1990,URY,3117011,32.048.549.888.000
Uzbekistan,1990,UZB,20579106,139.398.692.864.000
Vanuatu,1990,VUT,150900,
Venezuela,1990,VEN,19750580,256.078.512.128.000
Vietnam,1990,VNM,66912616,109.939.941.376.000
Western Sahara,1990,ESH,178540,
Yemen,1990,YEM,13375127,44.971.040.768.000
Zambia,1990,ZMB,7686405,10.251.341.824.000
Zimbabwe,1990,ZWE,10113899,21.937.055.744.000
Afghanistan,1991,AFG,10745168,12.047.362.048.000
Albania,1991,ALB,3302087,9.375.844.352.000
Algeria,1991,DZA,26133906,121.105.154.048.000
American Samoa,1991,ASM,49016,
Angola,1991,AGO,12228698,12.341.160.960.000
Antarctica,1991,ATA,,
Antigua and Barbuda,1991,ATG,63653,
Argentina,1991,ARG,33105766,376.057.921.536.000
Aruba,1991,ABW,67879,
Australia,1991,AUS,17271092,461.003.816.960.000
Austria,1991,AUT,7755640,215.992.565.760.000
Azerbaijan,1991,AZE,7538266,53.426.622.464.000
Bahamas,1991,BHS,276072,
Bahrain,1991,BHR,535419,3.631.865.856.000
Bangladesh,1991,BGD,109242832,117.331.550.208.000
Barbados,1991,BRB,259414,3.234.507.008.000
Belarus,1991,BLR,10457619,114.005.491.712.000
Belgium,1991,BEL,9987072,278.661.955.584.000
Belize,1991,BLZ,186478,
Benin,1991,BEN,5293055,9.020.547.072.000
Bermuda,1991,BMU,57897,
Bhutan,1991,BTN,567719,
Bolivia,1991,BOL,7244896,24.301.006.848.000
Botswana,1991,BWA,1380593,7.315.023.872.000
Brazil,1991,BRA,153336448,1.212.665.823.232.000
