Entity,Code,Year,Fossil fuels (TWh)
Algeria,DZA,1990,31.457.452
Argentina,ARG,1990,43.954.608
Australia,AUS,1990,9.869.913
Austria,AUT,1990,23.827.515
Azerbaijan,AZE,1990,25.564.853
Bangladesh,BGD,1990,71.242.424
Belarus,BLR,1990,46.591.333
Belgium,BEL,1990,49.842.084
Brazil,BRA,1990,8.296.463
Bulgaria,BGR,1990,27.727.142
Canada,CAN,1990,19.160.156
Chile,CHL,1990,12.616.681
China,CHN,1990,75.632.725
Colombia,COL,1990,16.958.893
Croatia,HRV,1990,8.920.179
Cyprus,CYP,1990,19.274.536
Czechia,CZE,1990,50.760.083
Denmark,DNK,1990,19.940.321
Ecuador,ECU,1990,6.623.651
Egypt,EGY,1990,36.189.252
Estonia,EST,1990,1.275.705
Finland,FIN,1990,22.015.292
France,FRA,1990,1.601.255
Germany,DEU,1990,37.038.672
Greece,GRC,1990,28.207.562
Hong Kong,HKG,1990,13.935.774
Hungary,HUN,1990,2.836.124
Iceland,ISL,1990,8.602.877
India,IND,1990,20.860.105
Indonesia,IDN,1990,57.778.107
Iran,IRN,1990,78.945.746
Iraq,IRQ,1990,22.397.296
Ireland,IRL,1990,11.497.067
Israel,ISR,1990,1.291.292
Italy,ITA,1990,1.752.051
Japan,JPN,1990,43.740.117
Kazakhstan,KAZ,1990,8.376.442
Kuwait,KWT,1990,9.149.267
Latvia,LVA,1990,7.317.163
Lithuania,LTU,1990,152.332
Luxembourg,LUX,1990,36.904.346
Malaysia,MYS,1990,22.907.864
Mexico,MEX,1990,11.774.172
Morocco,MAR,1990,7.914.823
Netherlands,NLD,1990,89.824.207
New Zealand,NZL,1990,10.906.915
North Macedonia,MKD,1990,28.207.687
Norway,NOR,1990,13.649.329
Oman,OMN,1990,4.886.399
Pakistan,PAK,1990,25.378.528
Peru,PER,1990,7.573.776
Philippines,PHL,1990,14.898.337
Poland,POL,1990,12.059.641
Portugal,PRT,1990,16.917.345
Qatar,QAT,1990,7.883.766
Romania,ROU,1990,70.146.704
