Entity,Code,Year,Ozone concentration-StateofGlobalAir
Afghanistan,AFG,1990,62
Albania,ALB,1990,72
Algeria,DZA,1990,67
Andorra,AND,1990,65
Angola,AGO,1990,80
Antigua and Barbuda,ATG,1990,41
Argentina,ARG,1990,36
Armenia,ARM,1990,62
Australia,AUS,1990,36
Austria,AUT,1990,63
Azerbaijan,AZE,1990,60
Bahamas,BHS,1990,50
Bahrain,BHR,1990,90
Bangladesh,BGD,1990,59
Barbados,BRB,1990,39
Belarus,BLR,1990,55
Belgium,BEL,1990,49
Belize,BLZ,1990,46
Benin,BEN,1990,70
Bhutan,BTN,1990,55
Bolivia,BOL,1990,50
Bosnia and Herzegovina,BIH,1990,69
Botswana,BWA,1990,55
Brazil,BRA,1990,44
Brunei,BRN,1990,42
Bulgaria,BGR,1990,66
Burkina Faso,BFA,1990,52
Burundi,BDI,1990,54
Cambodia,KHM,1990,40
Cameroon,CMR,1990,67
Canada,CAN,1990,58
Cape Verde,CPV,1990,43
Central African Republic,CAF,1990,80
Chad,TCD,1990,60
Chile,CHL,1990,45
China,CHN,1990,57
Colombia,COL,1990,39
Comoros,COM,1990,39
Congo,COG,1990,61
Costa Rica,CRI,1990,38
Cote d'Ivoire,CIV,1990,61
Croatia,HRV,1990,69
Cuba,CUB,1990,48
Cyprus,CYP,1990,68
Czechia,CZE,1990,58
Democratic Republic of Congo,COD,1990,63
Denmark,DNK,1990,49
Djibouti,DJI,1990,46
Dominica,DMA,1990,40
Dominican Republic,DOM,1990,44
Ecuador,ECU,1990,33
Egypt,EGY,1990,68
El Salvador,SLV,1990,53
Equatorial Guinea,GNQ,1990,53
Eritrea,ERI,1990,46
Estonia,EST,1990,51
Eswatini,SWZ,1990,48
Ethiopia,ETH,1990,51
Fiji,FJI,1990,35
Finland,FIN,1990,48
France,FRA,1990,58
Gabon,GAB,1990,51
Gambia,GMB,1990,46
Georgia,GEO,1990,60
Germany,DEU,1990,55
Ghana,GHA,1990,65
Greece,GRC,1990,72
Greenland,GRL,1990,32
Grenada,GRD,1990,38
Guatemala,GTM,1990,55
